timestamps,TP9,AF7,AF8,TP10,Right AUX
1731800148.2183895,-70.53451316431165,-41.05288181360811,-58.03576751239598,117.03268931340426,102.0
1731800148.2183895,25.158307001926005,-79.18116186186671,79.65238925628364,-1.7540130792185664,102.0
1731800148.2327838,27.495744474232197,33.87601379863918,89.41726804058999,149.24444763176143,103.0
1731800148.2327838,36.11621387209743,-178.58022288419306,126.04584820661694,-35.966617873869836,103.0
1731800148.2335448,109.26865700539201,-202.34354720264673,211.45394349470735,-33.40852630417794,104.0
1731800148.2335448,102.65277398377657,-15.449526716955006,215.582793045789,206.15450525749475,104.0
1731800148.2470956,48.78699492197484,-162.17702167853713,171.39961496926844,75.83769130147994,105.0
1731800148.2470956,46.913305044174194,-246.40704848058522,178.54656378459185,-126.32260080333799,105.0
1731800148.2628038,70.34751816652715,-111.71455157641321,188.1655864706263,64.02708724141121,106.0
1731800148.2628038,24.90773370489478,-166.2235934305936,143.07735260482877,72.65129653923213,106.0
1731800148.2635093,-7.823870707303286,-437.0933275213465,120.207864375785,-135.44795669522136,107.0
1731800148.2635093,-50.507348901592195,-327.21132692322135,69.0684723816812,-1.690434779971838,107.0
1731800148.2771509,-146.3647246658802,-133.93703711312264,-41.7597229052335,65.0331203294918,108.0
1731800148.2771509,-168.9275410985574,-335.73081902228296,-80.61354354489595,-194.07088850066066,108.0
1731800148.2930923,-147.5502729518339,-373.82170007098466,-70.33255856670439,-254.8966213800013,109.0
1731800148.2930923,-158.3361444240436,-147.1463637566194,-93.65457469038665,-114.34370124526322,109.0
1731800148.293636,-184.72487851139158,-302.9580757105723,-125.82519410923123,-260.24841821659356,110.0
1731800148.293636,-195.36489388532937,-383.1415307605639,-150.93114251177758,-395.83101131021976,110.0
1731800148.3072016,-187.87387427408248,-176.55693700816482,-151.61180430371314,-239.5181527622044,111.0
1731800148.3072016,-225.19807583186775,-208.0281951352954,-215.956783041358,-169.42120789270848,111.0
1731800148.3228662,-209.10528632253408,-418.96603243611753,-190.17391274683177,-402.61518982984126,112.0
1731800148.3228662,-206.5845937523991,-265.8620080500841,-193.03867611289024,-289.78614806663245,112.0
1731800148.3237712,-237.41632898710668,-153.65378967951983,-225.76280072517693,-137.44880317151546,113.0
1731800148.3237712,-260.1287414180115,-343.7940433267504,-256.0148514667526,-313.2278409888968,113.0
1731800148.337346,-224.06114624533802,-360.4365981295705,-214.93579035345465,-338.3188297916204,114.0
1731800148.337346,-248.11244286037982,-110.62250078935176,-250.85378952790052,-145.07445918116719,114.0
