timestamps,TP9,AF7,AF8,TP10,Right AUX
1731822481.6346211,5.550011534243822,-10.299684477970004,8.620469397865236,-8.03704500477761,102.0
1731822481.6346211,-14.86610232386738,-16.90060789976269,-6.477506723254919,-1.327664484269917,102.0
1731822481.6490362,-5.082524039782584,-7.517198910936713,-0.725540591403842,-15.913274311460555,103.0
1731822481.6490362,5.1311427392065525,-16.51165830437094,8.03330510482192,2.4346748711541295,103.0
1731822481.6497087,-8.201600602827966,-14.009665234014392,-1.451081182807684,6.896375518292189,104.0
1731822481.6497087,1.7091342797502875,-4.704794144257903,5.748226231895387,-4.637475945055485,104.0
1731822481.6633334,0.4113889951258898,-25.498637897893786,0.23935359716415405,-8.493312799371779,105.0
1731822481.6633334,-15.988072310574353,-33.558122302405536,-12.925094246864319,1.0546517875045538,105.0
1731822481.678784,-14.432273929007351,-9.858376283198595,-6.133435927331448,-11.69840706139803,106.0
1731822481.678784,1.2266871854662895,-15.67766061425209,7.0609311163425446,-10.258545578457415,106.0
1731822481.694304,-5.64724893309176,-17.398014593869448,0.33659099601209164,6.791658319532871,107.0
1731822481.694304,-5.766925731673837,-15.3036706186831,-1.6006771810352802,-7.5882570100948215,107.0
1731822481.694667,8.130542503669858,-6.526125422678888,9.181454391218722,-10.157568279653788,108.0
1731822481.694667,8.598029998131096,-25.038630203343928,5.303178137168288,7.367602912709117,108.0
1731822481.7090423,-1.6231165807694197,-18.606002279557288,-6.518645622767508,4.936667941510677,109.0
1731822481.7090423,-0.8900961894541979,-15.741238913498819,3.1901346622034907,-11.574990362860262,109.0
1731822481.7098305,8.601769898086786,-26.54206998553127,5.463993835262954,-16.709873002022505,110.0
1731822481.7098305,-14.07324353326112,-38.14697954803705,-9.880815682932734,-6.533605222590268,110.0
1731822481.7233567,-3.306071560829878,-26.287756788544357,0.8078183904290199,-8.758845696225762,111.0
1731822481.7233567,6.4176683239638805,-32.361354316584766,8.994459393434227,-11.29075796622783,111.0
