timestamps,TP9,AF7,AF8,TP10,Right AUX
1731847889.8752432,-16.49295880459249,267.1335740350187,-27.903393569402397,312.0796917025,102.0
1731847889.8752432,-7.921108106151223,69.73417457379401,-22.20004613697529,125.38762581441551,102.0
1731847889.8895185,-15.385948417708278,107.14439383056015,-31.194505530409515,113.89117335062474,103.0
1731847889.8895185,-57.362585520371795,525.8523731697351,-58.02080791257322,-298.99565170751885,103.0
1731847889.8906353,-33.617960701696575,234.49546712171286,-33.26267020590603,-619.8304492062889,104.0
1731847889.8906353,-37.15216615982354,-20.48343205731362,-34.50431699119508,-1016.9031073017977,104.0
1731847889.9042225,-59.307333497330546,425.7277715560049,-73.6648094272241,-1425.1412367150187,105.0
1731847889.9042225,-45.05083486624062,395.5318193137646,-56.577206529676914,-1399.7286165161058,105.0
1731847889.919706,-11.915321258828044,-18.54990378022194,-33.30380910541862,-991.1052774074487,106.0
1731847889.919706,-57.59819921758026,254.3805151861161,-59.793520491570234,-682.4251547646709,106.0
1731847889.9203887,-57.68047701660544,516.783115777187,-64.04578674118966,-289.24199262307957,107.0
1731847889.9203887,-22.641354331746697,59.004401600919664,-27.30126967653632,105.96258544456214,107.0
1731847889.9342344,-47.36957283876836,86.14485557936132,-58.3985378080979,85.16126189101487,108.0
1731847889.9342344,-60.6948363808915,510.2719499543309,-73.05146583449095,-317.7624696851708,108.0
1731847889.9500332,-29.941639045253396,223.07755255699158,-30.386687139980495,-637.8380674929358,109.0
1731847889.9500332,-18.796737177297473,-21.829796041361988,-15.591642915271223,-1026.499690588098,109.0
1731847889.9502585,-48.457883725874126,422.18982619792223,-57.46356281917542,-1426.741913896054,110.0
1731847889.9502585,-29.7546440474689,388.08941840194166,-49.21334351692349,-1403.03094817698,110.0
1731847889.9639585,-8.631689097732306,-22.458099233917892,-17.203539796173573,-1002.3025378747843,111.0
1731847889.9639585,-49.54619461297989,249.3054709462449,-53.82838006224483,-687.1823075083084,111.0
1731847889.9795892,-50.62702570017427,526.9182446571067,-56.599645929411054,-274.8807767932303,112.0
1731847889.9795892,-3.0741977635771036,71.86965744849294,-6.271812225691974,121.78610215708613,112.0
1731847889.9805894,-30.839215034618974,101.25405140034854,-30.270750241354108,103.4942514738068,113.0
1731847889.9805894,-46.079307354055345,528.2945278408006,-54.78953435085714,-295.50632504886016,113.0
1731847889.9942691,-23.460392422042787,237.58462448511273,-29.32829545252025,-630.4405453805812,114.0
1731847889.9942691,-4.678614844568074,-1.4361215829849243,-10.595136574469507,-1008.6603677994572,114.0
1731847890.0100172,-44.22057707607746,445.88957221712917,-46.37101955059916,-1411.5728796757758,115.0
1731847890.0100172,-27.275090376846492,418.55838334094733,-24.268210812471807,-1386.1116407774389,115.0
1731847890.0102897,-8.998199293389916,2.584270869381726,-13.643155038356781,-986.1536498661153,116.0
1731847890.0102897,-32.380053816363215,278.7646628972143,-36.464024567976594,-666.8709108489566,116.0
1731847890.024036,-37.69819155335426,542.2181753758341,-48.513982225209475,-264.4875948163681,117.0
1731847890.024036,-9.162754891440272,76.67168899159878,-22.790950329974294,118.10978050064296,117.0
1731847890.040012,-27.641600572504103,121.25129646342248,-27.480784874409437,108.24766431748867,118.0
1731847890.040012,-41.77468250505626,552.6674558520317,-36.796875664032996,-284.9635470737703,118.0
1731847890.0402353,1.0135128879919648,275.982177330181,7.8276106072589755,-602.2491795145907,119.0
1731847890.0402353,15.920754111371934,19.7878106655553,13.605756038799882,-988.2255544415675,119.0
1731847890.053866,-6.0174990287050605,470.27745982818305,-14.320076930336654,-1380.8346419399604,120.0
1731847890.053866,6.937514417804778,442.3553667590022,0.03739899955689907,-1360.0856769857928,120.0
1731847890.069487,28.56535586155951,31.42637932766229,27.450865674763918,-940.3323956090026,121.0
1731847890.069487,-6.496206223033369,306.6269175671041,-12.334190053865314,-623.977998257149,121.0
1731847890.070232,3.1639553625136614,577.4293334586546,-3.5155059583485126,-208.09364338451996,122.0
1731847890.070232,44.067241177894175,125.4325046138838,34.777329687960446,188.5732355657965,122.0
1731847890.0838635,8.631689097732306,153.2947592837736,13.826410136185586,167.038891620934,123.0
1731847890.0838635,-20.823762953281403,565.4766132002696,-19.155767573043704,-241.27029589144513,123.0
1731847890.0995932,20.288957259617746,292.15724463853985,8.728926496580243,-556.8056551530026,124.0
1731847890.0995932,16.05165060982108,24.96757210418582,14.155521332286298,-964.2340962258168,124.0
1731847890.100788,-6.253112725913525,473.0823847949505,-12.981192746199667,-1372.3488089405,125.0
1731847890.100788,3.2873720610514283,440.0927272858098,-0.3814697954803705,-1350.3207982014865,125.0
1731847890.1139052,37.93754515051842,8.003385905176401,29.676106148399413,-957.3003217079677,126.0
1731847890.1139052,3.010619464330375,276.6777987219393,-2.449634470976889,-650.7631617398001,126.0
1731847890.1294775,-4.01665255241096,551.5006070658565,1.4024624833837152,-241.85746018448845,127.0
1731847890.1294775,37.08110806066543,91.69486711360514,29.638707148842514,156.52977274544537,127.0
1731847890.1301737,22.798430129885674,127.92701788432896,22.061669838614762,138.78768735565245,128.0
1731847890.1301737,2.292558672837913,553.8679637378082,-2.3112581726163626,-252.63959175674245,128.0
1731847890.1438472,21.582962644286454,268.9399457136169,14.86610232386738,-575.2022230350412,129.0
1731847890.1438472,16.14140820875764,10.116429380141199,-2.374836471863091,-967.330733389128,129.0
1731847890.16001,-13.972266234457493,461.4886949323118,-17.603709091432393,-1369.117535378784,130.0
1731847890.16001,-1.8437706781551242,427.8034160314128,-7.5471181105822325,-1340.6755962157622,130.0
1731847890.1602516,33.46462480351329,22.226225436665118,26.489711386151612,-930.8031305219047,131.0
1731847890.1602516,1.8587302779778838,284.64004572760314,-11.545071163214743,-629.8234618878923,131.0
1731847890.1738675,-17.28207769524306,559.3618767727166,0.38894959539175034,-219.9753055437468,132.0
1731847890.1738675,15.546764115802944,107.39122722763568,23.856821817345917,185.70099239982665,132.0
